r,g,b,label
148,72,77,red-ish
206,155,167,red-ish
200,82,135,red-ish
240,59,80,red-ish
235,157,177,red-ish
248,65,32,red-ish
140,42,65,red-ish
221,12,35,red-ish
187,161,129,red-ish
187,37,118,red-ish
185,61,11,red-ish
197,49,28,red-ish
235,54,83,red-ish
178,17,33,red-ish
252,140,129,red-ish
220,105,233,red-ish
243,80,227,red-ish
253,86,10,red-ish
178,73,11,red-ish
248,38,83,red-ish
243,87,80,red-ish
189,65,78,red-ish
209,113,161,red-ish
222,7,120,red-ish
211,104,81,red-ish
228,31,123,red-ish
200,29,66,red-ish
226,86,85,red-ish
234,83,77,red-ish
224,119,106,red-ish
252,42,67,red-ish
191,10,16,red-ish
209,114,99,red-ish
249,2,20,red-ish
206,25,19,red-ish
254,18,122,red-ish
208,82,60,red-ish
224,39,10,red-ish
241,79,40,red-ish
221,69,115,red-ish
149,29,64,red-ish
183,49,32,red-ish
192,41,51,red-ish
173,38,60,red-ish
179,3,79,red-ish
141,11,32,red-ish
249,41,101,red-ish
229,43,29,red-ish
222,43,36,red-ish
231,51,109,red-ish
251,53,92,red-ish
221,80,90,red-ish
157,45,31,red-ish
186,46,103,red-ish
197,77,98,red-ish
192,6,56,red-ish
207,58,38,red-ish
202,51,38,red-ish
195,25,108,red-ish
207,18,40,red-ish
208,37,19,red-ish
189,109,115,red-ish
242,119,81,red-ish
191,70,77,red-ish
237,50,21,red-ish
232,49,6,red-ish
228,1,63,red-ish
185,35,1,red-ish
210,27,20,red-ish
213,17,53,red-ish
236,59,102,red-ish
222,97,109,red-ish
191,111,106,red-ish
248,84,31,red-ish
180,9,2,red-ish
90,20,38,red-ish
250,23,14,red-ish
228,59,81,red-ish
169,29,27,red-ish
239,48,19,red-ish
216,49,78,red-ish
208,5,34,red-ish
183,58,71,red-ish
205,49,60,red-ish
191,72,52,red-ish
247,85,101,red-ish
222,65,145,red-ish
243,3,171,red-ish
235,46,103,red-ish
207,4,55,red-ish
211,91,66,red-ish
196,56,22,red-ish
187,22,51,red-ish
242,35,75,red-ish
246,23,96,red-ish
233,85,28,red-ish
254,10,24,red-ish
207,87,78,red-ish
210,71,3,red-ish
244,71,130,red-ish
186,29,15,red-ish
225,84,23,red-ish
251,85,58,red-ish
213,73,23,red-ish
147,32,12,red-ish
157,28,58,red-ish
252,28,43,red-ish
248,93,47,red-ish
237,32,105,red-ish
183,31,76,red-ish
183,53,82,red-ish
173,29,59,red-ish
227,57,36,red-ish
178,5,37,red-ish
246,2,0,red-ish
121,5,3,red-ish
131,55,84,red-ish
181,92,72,red-ish
171,27,63,red-ish
237,41,69,red-ish
176,43,23,red-ish
194,98,96,red-ish
188,6,50,red-ish
188,33,41,red-ish
247,28,56,red-ish
208,33,26,red-ish
175,63,1,red-ish
220,48,1,red-ish
194,21,5,red-ish
220,46,38,red-ish
206,52,35,red-ish
206,81,68,red-ish
149,16,6,red-ish
222,79,63,red-ish
220,29,13,red-ish
197,24,13,red-ish
242,85,50,red-ish
243,112,107,red-ish
228,91,110,red-ish
186,56,83,red-ish
227,25,122,red-ish
198,66,26,red-ish
167,35,40,red-ish
249,94,112,red-ish
165,48,85,red-ish
157,58,18,red-ish
219,87,81,red-ish
217,59,123,red-ish
221,11,108,red-ish
199,32,45,red-ish
214,14,100,red-ish
195,5,80,red-ish
184,7,62,red-ish
176,38,63,red-ish
107,4,11,red-ish
179,71,16,red-ish
197,19,38,red-ish
247,68,31,red-ish
168,10,46,red-ish
240,173,198,red-ish
235,80,29,red-ish
230,28,26,red-ish
236,7,42,red-ish
